Entity,Year,Annual working hours per worker,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Days of vacation and holidays for full-time production workers in non-agricultural activities (Huberman & Minns 2007),Productivity: output per hour worked
Canada,1950,2209.234041,12878.90219,13743068,22,13.10943178
Canada,1951,2194.183546,13025.04615,14085723,22,13.3106115
Canada,1952,2181.939348,13720.40223,14485746,22,14.43308134
Canada,1953,2180.528393,13979.35187,14901533,22,15.03208252
Canada,1954,2172.603665,13520.33396,15323199,22,15.14522159
Canada,1955,2154.656566,14329.3598,15733926,22,16.41963909
Canada,1956,2142.278954,15133.29725,16167046,22,17.13559089
Canada,1957,2122.981755,15001.76851,16650052,22,17.51196159
Canada,1958,2107.615125,14962.04569,17113392,22,18.60962575
Canada,1959,2104.4344,15198.11458,17524910,22,19.06228152
Canada,1960,2090.805868,15393.97319,17909358,22,19.93759768
Canada,1961,2066.495353,15714.85669,18273690,22,20.95527015
Canada,1962,2065.044999,16413.34419,18622354,22,21.77084599
Canada,1963,2050.357569,16961.06262,18971014,22,22.58929629
Canada,1964,2039.108423,17812.47382,19326326,22,23.49605342
Canada,1965,2021.214549,18586.8737,19688808,22,24.15669536
Canada,1966,1995.114257,19461.90639,20055242,22,25.24201505
Canada,1967,1985.598111,19671.78209,20408046,22,25.6363518
Canada,1968,1961.477696,20403.55014,20731928,22,27.30634298
Canada,1969,1942.468383,21165.02848,21033938,22,28.13059775
Canada,1970,1925,21467.53364,21434580,22,29.2265663
Canada,1971,1912,22227.66453,21888686,22,30.32986111
Canada,1972,1904,23118.66063,22222228,22,31.02553162
Canada,1973,1898,24446.47851,22502026,22,31.7498118
Canada,1974,1891,24739.56244,22812430,22,31.1209649
Canada,1975,1872,24733.97081,23136250,22,31.55685542
Canada,1976,1862,25852.26463,23442118,22,33.14058347
Canada,1977,1834,26430.59348,23715310,22,34.07002624
Canada,1978,1836,27164.60966,23962686,22,34.35181679
Canada,1979,1841,27967.4411,24219116,22,34.10858099
Canada,1980,1827,28173.57883,24511512,25,33.98027789
Canada,1981,1812,28833.94467,24815780,25,34.4870158
Canada,1982,1788.362954,27830.64761,25101514,25,35.29970015
Canada,1983,1780.215809,28486.62716,25360732,25,36.36311737
Canada,1984,1791.11595,30159.09554,25602080,25,37.68377544
Canada,1985,1794.90562,30560.16921,25843920,25,37.16099555
Canada,1986,1798.518926,30737.06157,26116076,25,36.62127897
Canada,1987,1807.027402,32477.46094,26436886,25,37.87336437
Canada,1988,1807.814587,33621.16634,26815068,25,38.41117527
Canada,1989,1802.820481,34377.14753,27244408,25,39.15351313
Canada,1990,1795.29276,34183.8884,27657206,25,39.45839298
Canada,1991,1774.18933,32881.07309,28015762,25,39.58082343
Canada,1992,1772.386979,32806.84504,28347642,25,40.40323081
Canada,1993,1771.122321,33201.17112,28668168,25,41.05645295
Canada,1994,1784.990535,34410.92316,28981190,25,41.86075776
Canada,1995,1785.016344,35738.74272,29289430,25,43.24448405
Canada,1996,1798.80713,36273.51698,29593856,25,43.56251984
Canada,1997,1796.677861,37363.71468,29882752,25,44.49898309
Canada,1998,1792.643002,37557.99108,30144816,25,44.22189502
Canada,1999,1791.860119,39872.33403,30399776,25,46.13533745
Canada,2000,1786.186367,41998.5383,30683316,24,48.09970087
Canada,2001,1773.040815,41247.48183,31002768,24,47.65456893
Canada,2002,1754.363462,41119.55339,31322400,24,47.36865595
Canada,2003,1743.803145,42749.91101,31619456,24,48.94758327
Canada,2004,1753.799959,44200.81455,31911670,24,49.97146861
Canada,2005,1744.018222,47073.37642,32215914,24,53.21646745
Canada,2006,1743.54075,46799.20501,32531864,24,52.62927456
Canada,2007,1742.925627,47230.99373,32862458,24,52.54481058
Canada,2008,1740.30598,48610.47744,33218542,24,53.95625951
Canada,2009,1710.836026,43182.2026,33593920,24,50.18718436
Canada,2010,1714.208445,45646.46617,33963416,24,52.57420089
Canada,2011,1712.651282,47756.7252,34323536,24,54.73824594
Canada,2012,1720.630667,47564.65689,34691876,24,54.25372625
Canada,2013,1714.935408,48815.65122,35063696,24,55.69766221
Canada,2014,1709.601479,49926.11737,35404616,24,57.38790667
Canada,2015,1710.780106,46945.50505,35732120,24,53.85795124
Canada,2016,1705.192385,47032.88992,36113532,24,54.12407638
Canada,2017,1693.784661,48902.64223,36554344,24,56.25571848
Canada,2018,1707.05926,49458.0354,37035260,24,56.63479255
Canada,2019,1689.280933,49884.05898,37522584,24,57.24434132
Australia,1950,2170.923406,13660.78315,8177169,22,15.32685286
Australia,1951,2150.846928,12852.69021,8419836,22,14.58322341
Australia,1952,2130.956115,12414.00208,8632790,22,14.24475506
Australia,1953,2111.249251,13721.20278,8819163,22,15.92284757
Australia,1954,2091.724634,14403.23802,9003364,22,16.90346558
Australia,1955,2072.380578,14775.68004,9209844,22,17.5368586
Australia,1956,2053.215414,14648.06203,9429808,22,17.58226722
Australia,1957,2034.227488,14427.61765,9644190,22,17.63838949
Australia,1958,2015.41516,15258.6238,9853146,22,19.05245142
Australia,1959,1996.776806,15906.89975,10065683,22,20.235953
Australia,1960,1978.310818,15799.37451,10286648,22,20.12239967
Australia,1961,1974.661182,15902.03934,10505940,22,20.69601061
Australia,1962,1971.018279,16466.98254,10711943,22,21.35586666
Australia,1963,1967.382096,17306.35963,10917377,22,22.27925164
Australia,1964,1963.752621,17813.99419,11131608,22,22.61652552
Australia,1965,1960.129843,17704.10754,11359442,22,22.287221
Australia,1966,1956.513747,18576.49714,11592675,22,23.03986467
Australia,1967,1952.904323,19066.34266,11809114,22,23.40054592
Australia,1968,1949.301557,20122.67511,12027268,22,24.61962303
Australia,1969,1945.705438,21175.3742,12268351,22,25.82899034
Australia,1970,1942.115953,21518.92536,12595038,22,25.91057668
Australia,1971,1923.479433,21941.41702,12993837,22,26.63028522
Australia,1972,1903.148684,22277.4655,13300319,22,27.42850021
Australia,1973,1889.80663,22948.75642,13513318,22,28.12806977
Australia,1974,1907.066589,21840.59314,13713392,22,26.41764893
Australia,1975,1893.830425,22008.21166,13886865,22,27.25024893
Australia,1976,1904.207578,22727.47659,14038078,22,27.90607619
Australia,1977,1906.007696,22889.63953,14193365,22,28.14100128
Australia,1978,1906.85481,23694.22625,14355814,22,29.35387879
Australia,1979,1912.255166,24184.78544,14520529,22,29.82520686
Australia,1980,1909.762827,24692.65189,14706329,22,30.04750306
Australia,1981,1894.809448,25480.33233,14930055,22,31.26263776
Australia,1982,1870.658317,24547.38085,15168446,22,31.00233081
Australia,1983,1857.01413,25622.75698,15383079,22,33.59127268
Australia,1984,1878.158461,26227.94624,15579478,22,33.34892576
Australia,1985,1869.260236,26544.84858,15785685,22,33.28966232
Australia,1986,1873.874479,26864.2475,16012299,22,32.70696979
Australia,1987,1871.633417,28604.32287,16259251,22,34.63339336
Australia,1988,1867.853552,29805.86476,16525901,22,35.41925448
Australia,1989,1877.780871,30357.97588,16796586,22,34.99274358
Australia,1990,1863.959761,29933.85013,17048002,22,34.71742081
Australia,1991,1850.484985,29537.35884,17271092,22,35.753604
Australia,1992,1846.54406,30333.72255,17462500,22,37.43999257
Australia,1993,1863.784511,31075.06204,17631514,22,38.27992636
